#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Ronald Acuna Jr.,ATL,147,659,566,177,33,2,35,120,93,77,104,10,52,13,11.70%,15.80%,0.253,0.329,0.313,0.402,0.566,0.968,0.409,158,1,5.35,-0.32,1.16
2,Mookie Betts,LAD,149,661,566,160,35,2,33,111,94,81,104,8,13,4,12.20%,15.70%,0.244,0.294,0.283,0.378,0.527,0.905,0.385,146,5.1,2.56,-0.27,0.87
3,Aaron Judge,NYY,138,600,496,137,22,0,44,100,106,96,162,4,6,2,16.00%,26.90%,0.309,0.317,0.276,0.395,0.586,0.981,0.408,161,11.3,3.85,0.12,1.41
4,Juan Soto,NYY,153,664,529,148,27,2,37,104,100,127,110,4,11,4,19.10%,16.60%,0.265,0.288,0.28,0.42,0.544,0.964,0.409,162,10.7,1.98,0.08,0.96
5,Yordan Alvarez,HOU,139,599,505,150,31,2,39,95,107,78,117,10,1,0,13.10%,19.50%,0.297,0.313,0.296,0.398,0.593,0.991,0.414,169,16.4,2.45,0.11,1.49
6,Julio Rodriguez,SEA,151,662,599,168,34,3,32,99,91,51,156,10,32,9,7.60%,23.50%,0.223,0.329,0.28,0.345,0.504,0.848,0.36,135,3.1,2.27,-1.81,0.38
7,Jose Ramirez,CLE,151,657,577,160,37,4,26,90,94,69,76,5,25,7,10.50%,11.60%,0.215,0.279,0.278,0.356,0.493,0.849,0.358,131,16,3.62,-2.25,0.32
8,Adley Rutschman,BAL,143,604,517,140,31,1,18,78,70,76,95,5,2,1,12.70%,15.80%,0.172,0.298,0.271,0.367,0.442,0.81,0.352,127,52.9,3.13,-2.31,0.62
9,Freddie Freeman,LAD,154,677,587,180,39,2,26,108,96,75,108,9,15,4,11.10%,15.90%,0.206,0.337,0.307,0.392,0.513,0.904,0.384,145,8.8,4.13,0.47,1.17
10,Corey Seager,TEX,128,559,495,146,31,1,29,83,88,53,90,5,2,1,9.50%,16.20%,0.247,0.306,0.295,0.366,0.541,0.907,0.382,143,32.1,3.7,1.41,1.08
11,Fernando Tatis Jr.,SDP,148,647,575,157,33,2,33,98,93,61,146,5,28,7,9.50%,22.60%,0.238,0.31,0.273,0.346,0.512,0.858,0.364,131,7.9,4.7,-0.54,0.41
12,Bobby Witt Jr.,KCR,152,657,604,169,33,7,29,99,90,40,121,6,42,11,6.10%,18.40%,0.223,0.304,0.28,0.327,0.502,0.829,0.351,122,2.4,3.51,0.85,0.9
13,Corbin Carroll,ARI,148,631,553,154,30,8,23,101,76,60,130,11,45,7,9.50%,20.70%,0.212,0.324,0.278,0.359,0.49,0.848,0.363,128,6,2.2,0.87,1.4
14,Gunnar Henderson,BAL,143,610,540,141,28,6,25,87,81,62,153,5,12,3,10.10%,25.00%,0.215,0.316,0.261,0.34,0.476,0.816,0.349,125,32.9,1.81,-0.58,0.44
15,Kyle Tucker,HOU,151,644,565,159,34,4,31,94,103,70,96,3,26,6,10.80%,14.90%,0.236,0.288,0.281,0.36,0.517,0.877,0.37,138,6.6,2.62,-0.37,0.36
16,Austin Riley,ATL,154,669,595,166,32,2,38,100,103,57,160,10,2,1,8.60%,23.90%,0.253,0.318,0.279,0.35,0.532,0.882,0.372,133,19.1,2.7,-0.88,1.35
17,Shohei Ohtani,LAD,139,609,515,144,27,5,38,101,99,85,147,4,19,7,14.00%,24.20%,0.292,0.32,0.28,0.385,0.573,0.957,0.399,155,12.3,5.2,0.01,0.63
18,Rafael Devers,BOS,150,651,578,163,35,1,35,93,100,61,124,8,4,2,9.40%,19.00%,0.247,0.303,0.282,0.357,0.529,0.886,0.373,133,23.9,2.34,-0.87,1.12
19,Alex Bregman,HOU,149,653,555,147,31,2,23,91,86,83,80,8,2,1,12.70%,12.20%,0.184,0.271,0.264,0.365,0.448,0.813,0.354,127,97.3,1.19,-0.61,0.89
20,Matt Olson,ATL,153,663,564,151,28,1,40,102,112,87,148,6,1,1,13.10%,22.40%,0.269,0.29,0.267,0.368,0.536,0.904,0.381,139,17.3,1.87,-0.42,1.65
21,Francisco Lindor,NYM,153,655,578,147,28,2,27,92,88,61,126,9,22,5,9.30%,19.20%,0.196,0.279,0.254,0.332,0.45,0.782,0.336,112,22.8,2.61,0.46,0.73
22,Mike Trout,LAA,125,541,461,122,24,2,33,83,83,69,151,9,3,1,12.70%,27.90%,0.272,0.32,0.266,0.369,0.538,0.907,0.383,144,71.4,3.05,-0.67,0.92
23,Marcus Semien,TEX,153,680,609,161,34,3,27,100,85,61,110,4,15,4,9.00%,16.20%,0.198,0.281,0.264,0.333,0.462,0.795,0.342,115,30.8,1.96,0.08,0.65
24,Will Smith,LAD,125,517,443,116,23,2,21,70,75,56,88,12,2,1,10.80%,16.90%,0.206,0.278,0.262,0.355,0.468,0.823,0.353,124,84.6,2.29,-0.18,0.5
25,Trea Turner,PHI,153,667,612,171,34,4,23,98,83,45,132,5,29,5,6.80%,19.90%,0.182,0.323,0.28,0.333,0.462,0.795,0.341,113,12,2,-0.72,0.67
26,Bryce Harper,PHI,147,633,532,151,34,1,29,95,92,89,135,5,13,5,14.10%,21.40%,0.234,0.327,0.285,0.389,0.519,0.908,0.384,142,17.7,3.45,1.2,0.59
27,Michael Harris II,ATL,147,599,555,160,34,3,22,88,79,34,121,6,24,5,5.60%,20.10%,0.194,0.332,0.288,0.334,0.482,0.816,0.348,117,28.9,2.94,0.2,0.62
28,Bo Bichette,TOR,146,638,595,173,35,2,22,86,82,36,126,3,11,4,5.60%,19.70%,0.178,0.335,0.291,0.334,0.469,0.803,0.344,121,37.1,1.62,0.07,0.84
29,Royce Lewis,MIN,132,561,507,137,27,2,27,78,82,46,125,5,13,4,8.20%,22.30%,0.218,0.309,0.271,0.336,0.488,0.824,0.352,126,54.5,2.79,0.68,0.25
30,Jose Altuve,HOU,139,616,544,150,29,1,24,96,72,61,99,7,15,4,9.90%,16.10%,0.189,0.298,0.276,0.354,0.465,0.819,0.354,127,42.9,2.78,0.17,0.62
31,Dansby Swanson,CHC,151,645,578,148,29,2,24,85,82,58,158,5,12,3,8.90%,24.50%,0.179,0.311,0.256,0.326,0.435,0.762,0.329,107,119.8,3.05,0.1,0.49
32,Xander Bogaerts,SDP,147,633,563,157,31,1,18,81,71,56,112,7,12,3,8.90%,17.60%,0.157,0.316,0.279,0.349,0.436,0.784,0.34,115,105.8,1.98,-0.08,0.6
33,William Contreras,MIL,140,582,515,140,27,1,22,77,74,58,131,5,4,1,9.90%,22.40%,0.187,0.323,0.272,0.349,0.459,0.809,0.349,119,77.3,2.03,-0.7,0.52
34,Luis Robert Jr.,CHW,143,602,556,149,31,2,30,85,84,33,155,9,19,5,5.50%,25.80%,0.223,0.32,0.269,0.319,0.492,0.811,0.344,117,34.2,2.17,-0.56,0.26
35,Vladimir Guerrero Jr.,TOR,153,663,584,165,32,1,31,89,98,67,99,7,6,2,10.10%,15.00%,0.219,0.292,0.282,0.361,0.501,0.862,0.367,137,29.9,4.15,-0.32,0.96
36,Ozzie Albies,ATL,148,643,585,159,33,4,27,94,93,45,109,6,13,4,7.00%,16.90%,0.207,0.291,0.273,0.327,0.479,0.807,0.343,114,22.9,1.44,-0.54,0.54
37,Sean Murphy,ATL,117,469,406,102,23,1,20,63,65,48,105,12,0,0,10.20%,22.40%,0.212,0.29,0.252,0.347,0.464,0.811,0.35,118,141,3.52,-0.29,0.41
38,J.T. Realmuto,PHI,133,527,476,122,24,3,20,69,70,38,127,9,15,4,7.20%,24.10%,0.19,0.307,0.257,0.321,0.447,0.768,0.329,105,73.5,3.62,-0.07,0.27
39,Andres Gimenez,CLE,143,593,533,141,28,4,16,76,66,34,113,18,27,6,5.70%,19.10%,0.158,0.305,0.264,0.327,0.422,0.749,0.324,108,100.7,3.74,-1.17,0.87
40,Brandon Nimmo,NYM,145,636,548,147,28,5,19,86,65,72,128,11,4,2,11.30%,20.00%,0.173,0.316,0.268,0.362,0.44,0.803,0.351,122,198.8,2.44,-0.47,0.67
41,Nico Hoerner,CHC,146,641,579,163,28,4,9,84,62,46,78,11,34,8,7.10%,12.20%,0.109,0.31,0.282,0.343,0.39,0.733,0.322,103,65,2.41,-3.29,1.61
42,Ketel Marte,ARI,143,619,546,149,33,5,19,84,77,62,105,6,7,2,10.00%,16.90%,0.184,0.304,0.273,0.351,0.457,0.808,0.348,118,118.5,3.14,-1.27,0.57
43,Manny Machado,SDP,141,606,543,146,26,1,29,80,92,55,112,2,6,2,9.10%,18.50%,0.211,0.288,0.269,0.336,0.48,0.815,0.346,119,64.2,3.44,-1.64,0.76
44,Carlos Correa,MIN,136,582,514,133,28,1,21,71,72,60,123,4,0,0,10.20%,21.10%,0.18,0.301,0.26,0.339,0.439,0.778,0.336,116,244,1.33,-0.99,0.51
45,Willy Adames,MIL,145,618,549,132,29,1,27,78,85,62,161,3,6,2,10.00%,26.00%,0.203,0.29,0.241,0.32,0.445,0.765,0.329,105,182.6,2.17,-0.15,0.94
46,Gleyber Torres,NYY,146,621,555,149,27,1,24,82,77,57,107,3,13,5,9.20%,17.30%,0.181,0.293,0.269,0.338,0.449,0.787,0.339,115,83.2,3.2,-0.79,0.18
47,Willson Contreras,STL,120,485,419,107,22,1,21,63,64,48,111,14,5,2,9.90%,22.80%,0.202,0.296,0.255,0.349,0.457,0.806,0.349,121,135.6,2.37,-0.09,0.26
48,J.P. Crawford,SEA,145,626,538,137,29,1,13,80,58,75,109,7,3,1,12.00%,17.40%,0.129,0.296,0.255,0.351,0.384,0.734,0.326,111,271.7,2.34,1.06,0.64
49,Nolan Arenado,STL,145,617,560,147,30,2,26,74,91,47,92,5,4,2,7.60%,14.90%,0.196,0.27,0.262,0.321,0.457,0.778,0.331,109,103.4,3.04,-1.19,0.8
50,Gabriel Moreno,ARI,124,473,427,122,23,1,10,53,57,36,87,5,6,2,7.60%,18.30%,0.131,0.335,0.286,0.346,0.416,0.762,0.332,108,153.6,2.7,0.5,1.09
51,Yandy Diaz,TBR,136,590,509,150,28,1,17,81,68,71,86,6,1,1,12.00%,14.50%,0.158,0.325,0.294,0.385,0.452,0.837,0.365,132,136.6,2.02,1.44,1.18
52,Matt McLain,CIN,131,576,508,131,28,4,22,79,73,56,156,9,19,6,9.70%,27.10%,0.197,0.329,0.258,0.34,0.455,0.795,0.343,110,71,2.48,0.2,0.4
53,Pete Alonso,NYM,152,649,563,141,24,1,41,89,110,65,139,15,4,1,10.10%,21.40%,0.266,0.256,0.25,0.34,0.516,0.856,0.36,129,26.6,2.86,-0.2,1.74
54,Matt Chapman,SFG,138,579,503,118,26,3,24,71,70,64,162,7,3,1,11.00%,28.00%,0.203,0.294,0.235,0.327,0.438,0.765,0.331,109,272.7,4.45,0.94,0.77
55,Jung Hoo Lee,SFG,135,582,522,150,35,4,10,70,60,50,54,5,9,3,8.50%,9.20%,0.139,0.303,0.286,0.352,0.426,0.778,0.338,113,247.5,3.63,-0.22,1.12
56,Cal Raleigh,SEA,129,509,457,103,23,1,26,62,71,45,139,3,1,0,8.80%,27.40%,0.228,0.261,0.226,0.298,0.455,0.752,0.321,108,137.4,2.27,-0.7,1.02
57,Edouard Julien,MIN,132,550,461,113,23,1,16,73,55,79,164,5,8,2,14.40%,29.70%,0.163,0.341,0.246,0.36,0.409,0.769,0.339,117,218.4,3.45,0.03,0.44
58,Ke'Bryan Hayes,PIT,138,590,541,144,30,5,17,73,68,43,119,3,14,5,7.20%,20.20%,0.169,0.311,0.267,0.322,0.436,0.758,0.326,103,160.4,1.56,-0.93,0.35
59,Bryan Reynolds,PIT,148,643,568,153,30,4,24,86,81,61,137,9,10,3,9.40%,21.30%,0.194,0.313,0.269,0.347,0.463,0.81,0.348,117,91.9,1.63,-0.01,0.4
60,Ha-Seong Kim,SDP,146,602,528,130,25,2,15,73,61,61,115,5,27,6,10.10%,19.20%,0.139,0.287,0.246,0.327,0.385,0.712,0.313,97,89.6,2.7,-0.2,1.1
61,Logan O'Hoppe,LAA,121,480,427,108,19,1,23,58,66,43,102,6,2,1,9.00%,21.30%,0.209,0.28,0.253,0.329,0.463,0.791,0.34,114,152.5,2.43,-2.08,0.53
62,Randy Arozarena,TBR,148,637,552,143,29,3,25,88,80,66,154,14,25,9,10.40%,24.10%,0.197,0.313,0.259,0.351,0.456,0.806,0.349,121,44,2.4,-0.59,0.61
63,Josh Jung,TEX,138,585,537,139,28,2,26,74,81,38,165,6,3,1,6.40%,28.30%,0.203,0.324,0.259,0.313,0.462,0.775,0.331,108,134.2,1.76,-1.3,0.66
64,Jonah Heim,TEX,123,483,439,109,23,1,18,55,66,39,93,2,2,1,8.00%,19.30%,0.176,0.275,0.248,0.31,0.424,0.734,0.316,98,171.9,1.42,-1.02,0.37
65,Paul Goldschmidt,STL,148,645,559,149,29,1,24,88,84,77,145,4,7,2,12.00%,22.60%,0.185,0.317,0.266,0.357,0.451,0.808,0.35,122,84.8,1.75,1.47,0.58
66,Yainer Diaz,HOU,116,448,420,115,22,1,21,56,67,20,87,4,1,0,4.40%,19.30%,0.208,0.296,0.273,0.309,0.481,0.791,0.335,114,108.9,3.07,0.83,0.75
67,Luis Arraez,MIA,143,615,560,178,30,3,8,75,62,45,40,4,4,2,7.30%,6.60%,0.108,0.33,0.318,0.37,0.425,0.796,0.345,116,164.5,2.35,0.25,2.11
68,Riley Greene,DET,137,589,529,146,26,5,17,77,65,51,155,4,10,2,8.70%,26.30%,0.166,0.358,0.276,0.343,0.442,0.785,0.34,116,167.9,2.79,0.38,0.6
69,Ian Happ,CHC,147,626,540,135,30,3,20,79,75,75,146,6,11,3,12.00%,23.30%,0.176,0.305,0.251,0.346,0.426,0.772,0.336,112,164.6,2.63,-1.58,0.43
70,Anthony Volpe,NYY,142,573,510,119,27,3,19,71,64,51,144,7,24,6,8.80%,25.10%,0.179,0.284,0.233,0.309,0.413,0.722,0.313,97,126.1,2.52,0.54,1.1
71,Max Muncy,LAD,131,552,461,103,19,1,28,79,83,80,140,7,2,1,14.40%,25.30%,0.232,0.251,0.223,0.343,0.455,0.798,0.344,118,184.3,3.07,0.15,1.33
72,Bo Naylor,CLE,116,439,380,88,19,2,16,52,54,52,111,4,8,2,11.90%,25.30%,0.183,0.281,0.23,0.328,0.414,0.741,0.323,107,162,3.61,0.28,0.45
73,Zach Neto,LAA,132,534,472,117,25,1,18,66,63,40,122,16,10,3,7.40%,22.90%,0.17,0.296,0.248,0.326,0.419,0.744,0.324,103,279.7,3.95,-0.92,0.2
74,Zack Gelof,OAK,136,592,530,129,28,2,19,73,63,53,171,4,21,5,8.90%,28.90%,0.17,0.321,0.244,0.316,0.414,0.729,0.316,105,135.9,2.79,1.04,0.78
75,Isaac Paredes,TBR,132,541,468,113,23,1,24,66,75,57,95,11,1,0,10.60%,17.50%,0.205,0.252,0.242,0.336,0.447,0.782,0.339,114,187.6,2.59,-0.66,0.73
76,Christian Yelich,MIL,145,629,540,142,28,2,18,90,69,81,144,4,22,5,12.90%,22.90%,0.159,0.325,0.262,0.361,0.421,0.782,0.341,114,81,1.57,2.24,0.78
77,Oneil Cruz,PIT,132,567,506,125,24,5,23,80,72,52,155,3,22,6,9.10%,27.40%,0.202,0.306,0.247,0.318,0.449,0.767,0.329,104,76.9,3.41,-0.76,0.72
78,George Springer,TOR,134,587,522,134,24,2,22,81,69,54,110,6,14,4,9.20%,18.80%,0.178,0.287,0.258,0.333,0.436,0.768,0.333,113,123.3,2.09,0.44,0.3
79,Evan Carter,TEX,137,565,486,124,25,4,16,74,64,68,142,6,18,6,11.90%,25.20%,0.167,0.325,0.254,0.35,0.421,0.772,0.336,112,131.6,3.68,0.71,0.59
80,Nolan Jones,COL,139,579,503,136,28,3,24,81,78,68,166,5,19,4,11.80%,28.70%,0.212,0.354,0.269,0.36,0.481,0.842,0.361,112,57,2.21,-0.32,0.18
81,Alejandro Kirk,TOR,97,368,323,86,16,0,10,40,42,38,41,4,0,0,10.40%,11.20%,0.142,0.279,0.267,0.35,0.409,0.76,0.333,113,266.5,1.59,-0.28,0.96
82,Adolis Garcia,TEX,147,633,571,139,28,2,32,91,95,50,179,7,13,4,7.90%,28.30%,0.225,0.293,0.243,0.309,0.468,0.777,0.331,108,46.8,2.03,-0.2,1.19
83,Jorge Polanco,SEA,125,537,474,116,23,1,21,65,68,54,126,4,6,2,10.10%,23.40%,0.185,0.287,0.245,0.325,0.43,0.755,0.327,112,248,2.41,-0.61,0.36
84,Cedric Mullins,BAL,137,567,510,126,26,3,18,72,65,46,115,5,26,6,8.00%,20.30%,0.173,0.283,0.248,0.314,0.421,0.734,0.317,103,149.3,1.95,-0.18,0.92
85,Jeremy Pena,HOU,144,597,548,143,27,2,15,74,63,36,128,8,13,5,6.10%,21.50%,0.139,0.313,0.261,0.313,0.399,0.713,0.31,97,214.2,2.64,-0.54,0.43
86,Cody Bellinger,CHC,140,590,531,139,27,2,23,83,82,47,117,4,17,5,8.00%,19.80%,0.19,0.291,0.262,0.323,0.452,0.774,0.331,108,62.1,4.12,1.65,0.32
87,Jazz Chisholm Jr.,MIA,130,544,491,122,21,4,25,78,73,43,156,5,28,7,7.90%,28.60%,0.211,0.307,0.247,0.312,0.458,0.77,0.329,105,73.2,1.36,0.96,0.94
88,Seiya Suzuki,CHC,135,576,506,137,27,3,21,76,74,60,129,4,8,4,10.50%,22.30%,0.194,0.321,0.271,0.351,0.465,0.816,0.35,122,111.9,2.21,0.52,0.32
89,Bryson Stott,PHI,140,584,532,142,28,3,13,72,62,42,101,4,22,5,7.20%,17.30%,0.135,0.304,0.266,0.322,0.401,0.723,0.314,95,109.6,2.52,-0.16,0.87
90,Kyle Schwarber,PHI,148,648,540,120,20,1,41,96,97,98,189,6,3,1,15.20%,29.20%,0.269,0.253,0.222,0.347,0.491,0.838,0.358,124,93.7,2.61,-0.54,2.14
91,Nolan Gorman,STL,130,529,471,113,21,1,28,70,76,51,162,4,7,2,9.70%,30.60%,0.224,0.3,0.24,0.318,0.464,0.782,0.335,111,190.9,2.31,-0.58,0.82
92,Byron Buxton,MIN,110,464,415,96,23,2,26,69,65,40,139,6,11,2,8.60%,30.00%,0.252,0.28,0.233,0.308,0.485,0.792,0.336,115,246.1,4.65,1.46,0.74
93,Steven Kwan,CLE,140,615,545,151,28,6,5,79,51,58,63,5,18,5,9.50%,10.20%,0.099,0.303,0.277,0.349,0.376,0.725,0.32,105,213.4,3.42,-0.15,1.39
94,CJ Abrams,WSN,147,613,563,142,29,4,16,83,62,31,113,12,41,8,5.00%,18.40%,0.149,0.289,0.253,0.304,0.402,0.707,0.306,90,40.2,4.37,-0.15,1.66
95,Chas McCormick,HOU,130,518,457,116,18,2,20,67,68,48,135,8,16,5,9.20%,26.00%,0.181,0.311,0.253,0.331,0.434,0.764,0.331,111,169.1,2.58,0.23,0.38
96,Triston Casas,BOS,142,580,495,127,25,2,27,77,79,78,138,3,1,0,13.50%,23.80%,0.223,0.299,0.256,0.359,0.479,0.838,0.36,124,109,2.64,-0.19,0.77
97,Jake Burger,MIA,141,579,526,132,26,2,30,71,81,38,157,10,1,1,6.60%,27.10%,0.228,0.297,0.251,0.311,0.479,0.79,0.336,110,149.3,2.2,-1.5,0.95
98,Taylor Ward,LAA,127,541,472,126,25,1,20,74,68,55,112,8,6,2,10.10%,20.70%,0.187,0.306,0.266,0.349,0.453,0.802,0.347,119,229.5,2.85,-1.47,0.34
99,James Outman,LAD,130,525,456,106,20,3,19,72,64,55,167,10,12,3,10.60%,31.80%,0.181,0.32,0.233,0.327,0.414,0.74,0.323,103,194.4,3.88,0.44,0.64
100,Brandon Lowe,TBR,113,476,416,98,21,1,22,62,65,50,124,7,6,1,10.60%,26.10%,0.213,0.281,0.237,0.326,0.449,0.776,0.334,111,269.6,2.57,-0.65,0.48
101,Ryan Jeffers,MIN,102,382,336,81,15,1,16,46,47,36,106,6,2,1,9.40%,27.90%,0.199,0.299,0.24,0.323,0.439,0.763,0.33,111,251.9,3.5,0.45,0.53
102,Danny Jansen,TOR,94,354,313,74,16,0,18,45,53,31,72,7,1,0,8.70%,20.30%,0.226,0.247,0.236,0.316,0.462,0.778,0.333,113,265.1,2.55,-0.11,0.56
103,Christian Walker,ARI,149,630,556,141,29,2,28,80,91,61,127,7,7,2,9.60%,20.20%,0.209,0.278,0.253,0.332,0.462,0.794,0.34,113,98.4,1.08,0.09,0.85
104,Jackson Holliday,BAL,115,477,417,108,22,3,8,60,47,53,105,3,10,3,11.20%,22.00%,0.127,0.326,0.259,0.345,0.386,0.731,0.322,107,192.8,3.92,-0.23,0.78
105,Vinnie Pasquantino,KCR,132,562,494,135,31,2,20,68,73,59,71,6,1,1,10.50%,12.70%,0.193,0.283,0.274,0.355,0.467,0.823,0.353,124,182.9,3.55,-0.28,0.66
106,Daulton Varsho,TOR,139,553,499,116,24,3,23,70,68,44,129,5,15,5,8.00%,23.30%,0.193,0.267,0.233,0.3,0.426,0.726,0.312,99,214.9,3.39,-0.36,0.81
107,Lars Nootbaar,STL,115,481,409,104,20,2,16,67,54,64,97,2,9,2,13.20%,20.10%,0.18,0.291,0.254,0.354,0.434,0.788,0.343,117,217.2,3.38,0.48,0.34
108,Elly De La Cruz,CIN,134,575,523,130,26,6,21,81,69,45,182,3,37,9,7.80%,31.60%,0.189,0.339,0.249,0.31,0.438,0.749,0.32,95,25.8,2.89,1.16,1.37
109,Francisco Alvarez,NYM,124,479,424,97,17,0,25,58,67,46,125,6,2,1,9.60%,26.00%,0.216,0.26,0.228,0.312,0.445,0.756,0.325,105,149.1,2.14,0.13,0.83
110,Davis Schneider,TOR,96,394,339,79,19,1,16,49,49,47,111,5,5,2,11.90%,28.10%,0.204,0.293,0.233,0.332,0.436,0.769,0.334,114,422.1,4.12,-0.56,0.45
111,Jack Suwinski,PIT,127,513,439,100,20,2,24,64,67,64,158,5,10,3,12.60%,30.90%,0.218,0.291,0.227,0.33,0.444,0.775,0.334,108,240.6,2.63,1.41,0.81
112,Max Kepler,MIN,127,519,457,113,24,2,20,67,65,52,102,5,4,1,10.00%,19.70%,0.195,0.272,0.247,0.328,0.441,0.769,0.332,112,279.7,1.43,-0.64,0.32
113,Anthony Santander,BAL,142,613,552,137,29,1,28,76,87,48,133,8,3,1,7.90%,21.60%,0.211,0.275,0.248,0.316,0.459,0.775,0.332,113,145.1,1.56,0,0.95
114,Jordan Westburg,BAL,114,447,403,102,22,2,13,54,52,35,110,5,7,2,7.80%,24.60%,0.163,0.314,0.253,0.317,0.416,0.733,0.318,104,316,4.19,1.35,0.43
